facility_id,name,mineral_type,category,latitude,longitude,state,district,lease_area_ha,owner,ownership_type,mining_method,mineral_class,source,location_precision
38KAR10015,SHAHABAD(BANKUR) ML2092,Limestone,mining,17.177117722976565,76.96715797007796,KARNATAKA,Gulbarga,331.567486899,"M/s JAYPEE CEMENT CORPORATION LIMITED,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR19006,YEREKATTE,Limestone,mining,13.40996431752297,76.711864352318,KARNATAKA,Tumkur,343.657720927,"M/s Heidelberg Cement India Ltd,",Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26045,Lokapur,Limestone,mining,16.1734111317751,75.36803243852152,KARNATAKA,Bagalkot,3.75800484487,SR.Mathad(Lokeshwar Minerals),Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26009,Choudapur,Limestone,mining,16.176671123448127,75.36900175921869,KARNATAKA,Bagalkot,4.60743319843,SM.Modi,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26010,Hebbal,Limestone,mining,16.188447176582386,75.34780068903831,KARNATAKA,Bagalkot,5.00394762212,BC.Udapudi,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26022,Muddapur,Limestone,mining,16.2321749426207,75.33332916958682,KARNATAKA,Bagalkot,14.9738655427,BC.Udapudi,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26024,Kalaskoppa,Limestone,mining,16.161557594764215,75.50297693861215,KARNATAKA,Bagalkot,3.13262533719,SS.Melligeri(Sri LaxmiVenkatesh Minerals),Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26025,Naganapur,Limestone,mining,16.17580309181452,75.3515428691537,KARNATAKA,Bagalkot,2.35320566255,HG.Shripad,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26031,ALGUNDI,Limestone,mining,16.275014056554458,75.4217245222004,KARNATAKA,Bagalkot,15.5803878754,MAHAVEER SILICONS  (P)  LTD,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR07013,A NARRAIN,Iron Ore,mining,14.22759601976993,76.20522310783369,KARNATAKA,Chitradurga,168.600104816,"M/s Vedanta Limited( formerly Sesa sterlite/Sesa Goa Ltd),",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
40KAR03015,JIGENAHALLI,Manganese Ore,mining,14.989233251743068,76.5582134534443,KARNATAKA,Bellary,22.17552024,"M/s  MARWA  MIINIG COMPANY,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
