name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Churi Coal Mine,mining,Subbituminous,23.679012,85.044766,Operating,0.81,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Churi_coal_mine
CL Jambad Coal Mine,mining,Subbituminous,23.65457,87.197937,Operating,0.96,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/CL_Jambad_coal_mine
D. Rayatwari Coal Mine,mining,Subbituminous,19.9598,79.3109,Operating,0.9,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/D._Rayatwari_Coal_Mine
Dabor Coal Mine,mining,Subbituminous,23.789723,86.915206,Operating,2.3,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dabor_coal_mine
Dakra Bukbuka Coal Mine,mining,Subbituminous,23.663881,85.000762,Operating,1.2,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dakra_Bukbuka_coal_mine
Damini Coal Mine,mining,Subbituminous,23.141744,81.470502,Operating,0.48,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Damini_coal_mine
Damoda Coal Mine,mining,Bituminous,23.68031,86.147729,Operating,1.17,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Damoda_coal_mine
Dhankasa Coal Mine,mining,Subbituminous,22.294167,78.984444,Operating,1.2,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dhankasa_Coal_Mine
Dhansar Coal Mine,mining,Bituminous,23.773116,86.399933,Operating,0.99,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Dhansar_coal_mine
Dhelwadih Coal Mine,mining,Subbituminous,22.461705,82.563349,Operating,0.33,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dhelwadih_coal_mine
Dhemonmain Coal Mine,mining,Subbituminous,23.7046,86.9087,Operating,0.21,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dhemonmain_coal_mine
Dhirauli Coal Mine,mining,Subbituminous,23.936115,82.317817,Operating,6.5,Stratatech Mineral Resources Pvt Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Dhirauli_coal_mine
Dhori- Khas Coal Mine,mining,Subbituminous,23.781699,86.013284,Operating,0.166,Central Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dhori-Khas_Coal_Mine
Dhuptala Coal Mine,mining,Lignite,19.82303037,79.3396561629762,Operating,1.35,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dhuptala_Coal_Mine
Dinesh (Makardhokra-III) Coal Mine,mining,Subbituminous,20.8764,79.2235,Operating,4.5,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dinesh_Mine
Dipka Coal Mine,mining,Lignite,22.345077,82.544192,Operating,35.0,South Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dipka_coal_mine
Dubeshwari UG Coal Mine,mining,Subbituminous,23.660393,86.821519,Operating,0.18,Eastern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dubeshwari_coal_mine
Dudhichua Coal Mine,mining,Subbituminous,24.16474,82.67287,Operating,25.5,Northern Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dudhichua_coal_mine
Dulanga Coal Mine,mining,Lignite,21.951705,83.807564,Operating,7.0,NTPC Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Dulanga_coal_mine
Durgapur Coal Mine,mining,Subbituminous,20.0081,79.2989,Operating,2.3,Western Coalfields Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Durgapur_Mine
East Bassuriya Coal Mine,mining,Bituminous,23.800946,86.371018,Operating,1.2,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/East_Bassuriya_coal_mine
Ena Coal Mine,mining,Subbituminous,23.7568,86.4094,Operating,,Bharat Coking Coal Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Cluster_No._7_(BCCL)
Gangaramchak & Gangaramchak-Bhadulia Coal Mine,mining,Lignite,23.81116575,87.2106843190803,Operating,2.25,West Bengal Power Development Corp Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gangaramchak_%26_Gangaramchak-Bhadulia_coal_mine
Gare Palma II Coal Mine,mining,Subbituminous,22.11866,83.53358,Operating,23.6,Maharashtra State Power Generation Co Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Gare_Palma_II_coal_mine
Gare Palma III Coal Mine,mining,Lignite,22.11866,83.53358,Operating,6.5,Chhattisgarh State Power Generation Co Ltd [100.0%],GEM_Coal_Mine_Tracker,Approximate,https://www.gem.wiki/Gare_Palma_III_coal_mine
Gare Palma IV 1 Coal Mine,mining,Lignite,22.11866,83.53358,Operating,,Jindal Steel & Power Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gare_Palma_IV_1_Coal_Mine
Gare Palma IV 2 & 3 Coal Mine,mining,Subbituminous,22.1199,83.5362,Operating,7.0,Jindal Power Ltd [100.0%],GEM_Coal_Mine_Tracker,Exact,https://www.gem.wiki/Gare_Palma_IV/2_%26_IV/3
