name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
Jindal Saw Dhedhwas Mine,mining,iron_ore,25.326373,74.538259,operating,4301,Jindal Saw Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Jindal_Saw_Dhedhwas_Mine
Jindal Saw Lampiya Mine,mining,iron_ore,25.444551,74.634887,operating,1500,Jindal Saw Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Jindal_Saw_Lampiya_Mine
Jindutt Minerals Khera Majora Mine,mining,iron_ore,24.23492,79.294424,operating,103,Jindutt Minerals Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/Jindutt_Minerals_Khera_Majora_Mine
JISPL Hahaladdi Mine,mining,iron_ore,20.225361,80.893287,operating,150,JSW Ispat Special Products Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JISPL_Hahaladdi_Mine
JJS Jururi Mine,mining,iron_ore,21.956766,85.407375,operating,600,Jagat Janani Services Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JJS_Jururi_Mine
JN Patnaik Bhanjapali Mine,mining,iron_ore,21.915274,85.250305,operating,300,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JN_Patnaik_Bhanjapali_Mine
JSPL Kasia Mine,mining,iron_ore,22.061772,85.363544,operating,7500,Jindal Steel & Power Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSPL_Kasia_Mine
JSPL Murgabeda Mine,mining,iron_ore,22.099958,85.447459,operating,unknown,Jindal Steel & Power Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSPL_Murgabeda_Mine
JSPL TRB Mine,mining,iron_ore,21.885947,85.181524,operating,3100,Jindal Steel & Power Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSPL_TRB_Mine
JSW Sesa Kodli Mine,mining,iron_ore,15.342999,74.134102,operating,3100,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Sesa_Kodli_Mine
JSW Steel Bedarabommenahall Mine,mining,iron_ore,14.210619,76.222929,operating,4000,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Bedarabommenahall_Mine
JSW Steel Bhadra Mine,mining,iron_ore,15.105667,76.629021,operating,1500,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Bhadra_Mine
JSW Steel Devadri Mine,mining,iron_ore,15.067338,76.575671,operating,1165,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Devadri_Mine
JSW Steel Dharmapura Mine,mining,iron_ore,15.142877,76.454776,operating,180,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Dharmapura_Mine
JSW Steel Gonua Mine,mining,iron_ore,21.922275,85.373726,operating,1200,JSW Steel [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/JSW_Steel_Gonua_Mine
