name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
SAIL IISCO steel plant,iron_steel,iron_steel,23.673236,86.926179,operating,2499,Steel Authority of India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/SAIL_IISCO_steel_plant
SAIL Rourkela steel plant,iron_steel,iron_steel,22.210804,84.86895,operating,3282,Steel Authority of India Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/SAIL_Rourkela_steel_plant
Shakambhari Ispat and Power Purulia steel plant,iron_steel,iron_steel,23.613861,86.789527,operating,660,Shakambhari Ispat & Power Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Shakambhari_Ispat_and_Power_Purulia_steel_plant
Shri Bajrang Power & Ispat Tilda steel plant,iron_steel,iron_steel,21.48619,81.771697,operating,500,Shri Bajrang Power and Ispat Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Shri_Bajrang_Power_&_Ispat_Tilda_steel_plant
Shyam Metalics Jamuria steel plant,iron_steel,iron_steel,23.693749,87.122711,operating,1144,Shyam Metalics and Energy Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Shyam_Metalics_Jamuria_steel_plant
Shyam Metalics Sambalpur steel plant,iron_steel,iron_steel,21.680344,84.04179,operating,1606,Shyam Metalics and Energy Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Shyam_Metalics_Sambalpur_steel_plant
Shyam Steel Mejia steel plant,iron_steel,iron_steel,23.564157,87.089552,operating,126,Shyam Steel Manufacturing Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Shyam_Steel_Mejia_steel_plant
Shyam Steel Raghunathpur steel plant,iron_steel,iron_steel,23.590212,86.724603,operating,420,Shyam Steel Industries Ltd,GEM_Global_Iron_and_Steel_Tracker,approximate,https://www.gem.wiki/Shyam_Steel_Raghunathpur_steel_plant
Sunflag Iron and Steel plant,iron_steel,iron_steel,21.232929,79.632398,operating,525,Sunflag Iron and Steel Co Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Sunflag_Iron_and_Steel_plant
Tata Metaliks Kharagpur steel plant,iron_steel,iron_steel,22.385611,87.287179,operating,,Tata Metaliks Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Tata_Metaliks_Kharagpur_steel_plant
Tata Steel Gamharia steel plant,iron_steel,iron_steel,22.812895,86.084022,operating,1200,Tata Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Tata_Steel_Gamharia_steel_plant
Tata Steel Jamshedpur steel plant,iron_steel,iron_steel,22.788598,86.1996,operating,11000,Tata Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Tata_Steel_Jamshedpur_steel_plant
Tata Steel Kalinganagar steel plant,iron_steel,iron_steel,20.970411,86.015211,operating,8000,Tata Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Tata_Steel_Kalinganagar_steel_plant
Tata Steel Meramandali steel plant,iron_steel,iron_steel,20.796053,85.260382,operating,5510,Tata Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Tata_Steel_Meramandali_steel_plant
Vedanta Sesa Goa Pig Iron Plant,iron_steel,iron_steel,15.526866,73.986671,operating,,Vedanta Iron and Steel Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Vedanta_Sesa_Goa_Pig_Iron_Plant
Welspun Metallics Anjar Steel plant,iron_steel,iron_steel,23.112781,70.0866885,operating,288,Welspun Corp Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Welspun_Metallics_Anjar_Steel_plant
Yazdani Steel and Power Kalinganagar steel plant,iron_steel,iron_steel,20.928285,86.036604,operating,110,Yazdani Steel and Power Ltd,GEM_Global_Iron_and_Steel_Tracker,exact,https://www.gem.wiki/Yazdani_Steel_and_Power_Kalinganagar_steel_plant
